Defect ID,Title,Description,Reporter,Assignee,Status,Priority,Severity,Date Reported,Date Assigned,Expected Resolution Date,Actual Resolution Date,Tags/Labels,Environment,Steps to Reproduce,Attachments,Comments
ID9427,Analytics: Econ Environment issue,Error,Lee,Dongyu,Fixed,Very High,Very Critical,2024-07-24,2024-09-19,2024-09-03,2024-08-26,Release 24.3,UAT,Share Point,Debugging Note,Error
ID1188,Analytics: Bear Step issue,Performance,Lee,Dongyu,In Progress,Medium,Minor,2024-07-25,2024-09-17,2024-08-01,2024-08-09,Release 24.3,Devl,Debugging Note,Cloudwatch,Failed
ID1415,Analytics: Model Override issue,Error,Lee,Dongyu,Created,Medium,Critical,2024-07-27,2024-09-13,2024-08-06,2024-08-23,Release 24.5,UAT,Debugging Note,Debugging Note,Error
ID1366,Workflow: Attribution issue,Performance,Lee,Mahesh,Reopened,Low,Critical,2024-07-27,2024-08-20,2024-09-19,2024-08-14,Release 24.5,UAT,Cloudwatch,Debugging Note,Performance
ID5771,Workflow: New Acquisition step issue,Error,Lee,Dongyu,Created,High,Very Critical,2024-07-28,2024-08-20,2024-09-20,2024-09-16,Release 24.4,Devl,Cloudwatch,Share Point,Error
ID8248,Workflow: Attribution issue,Error,Lee,Carlin,Created,Medium,Minor,2024-07-28,2024-09-02,2024-08-19,2024-08-19,Release 24.4,Prod,Debugging Note,Share Point,Performance
ID6240,Workflow: New Acquisition step issue,Failed,Lee,Carlin,In Progress,High,Major,2024-07-29,2024-08-16,2024-08-28,2024-08-01,Release 24.3,UAT,Share Point,Share Point,Error
ID3058,Workflow: LAI step issue,Error,Lee,Dongyu,Created,Very High,Critical,2024-07-30,2024-08-21,2024-09-11,2024-08-20,Release 24.5,Prod,Share Point,Cloudwatch,Error
ID3619,Workflow: RM step issue,Error,Lee,Dongyu,Reopened,Medium,Major,2024-07-30,2024-08-19,2024-08-17,2024-09-10,Release 24.3,UAT,Share Point,Share Point,Failed
ID8180,Workflow: Bear step issue,Failed,Lee,Mahesh,Reopened,Very High,Major,2024-08-04,2024-08-16,2024-09-01,2024-08-21,Release 24.4,Devl,Cloudwatch,Share Point,Error
ID6921,Workflow: CCFA Step issue,Performance,Lee,Mahesh,In Progress,Medium,Critical,2024-08-05,2024-08-24,2024-09-10,2024-08-18,Release 24.5,Prod,Debugging Note,Cloudwatch,Error
ID4899,Workflow: CE step issue,Failed,Lee,Carlin,Fixed,Low,Critical,2024-08-06,2024-08-24,2024-08-13,2024-08-16,Release 24.3,Devl,Cloudwatch,Debugging Note,Performance
ID1789,Analytics: Profile Upload issue,Performance,Lee,Carlin,Fixed,Medium,Critical,2024-08-07,2024-08-25,2024-07-30,2024-08-04,Release 24.5,Prod,Cloudwatch,Cloudwatch,Error
ID3395,Analytics: Filter Upload issue,Failed,Lee,Mahesh,In Progress,Medium,Very Critical,2024-08-07,2024-09-17,2024-08-02,2024-08-16,Release 24.5,UAT,Share Point,Debugging Note,Performance
ID8530,Workflow: RM step issue,Performance,Lee,Mahesh,In Progress,Very High,Minor,2024-08-08,2024-07-31,2024-08-11,2024-09-15,Release 24.4,UAT,Share Point,Cloudwatch,Error
ID8295,Analytics: Model Override issue,Failed,Lee,Carlin,Reopened,Very High,Critical,2024-08-09,2024-08-05,2024-08-28,2024-08-03,Release 24.5,Prod,Share Point,Debugging Note,Error
ID5020,Analytics: Bear Step issue,Error,Lee,Dongyu,Reopened,High,Minor,2024-08-10,2024-09-03,2024-08-01,2024-09-04,Release 24.5,Devl,Debugging Note,Debugging Note,Performance
ID3204,Analytics: Filter Upload issue,Failed,Lee,Mahesh,Created,Low,Critical,2024-08-10,2024-09-14,2024-09-21,2024-09-09,Release 24.4,UAT,Cloudwatch,Cloudwatch,Failed
