Defect ID,Title,Description,POC,Status,Priority,Severity,Date Created,Expected Time Required,Tags/Labels,Environment,Attachments,Comments
ID5565,Planning Meeting,Maintain,Business Analyst,Created,Low,Very Critical,2024-08-23,quarterly,Release 24.3,Prod,WF Task Note,Develop
ID1972,Analytics: Regression Test,Maintain,Analyst,Created,Very High,Minor,2024-08-25,monthly,Release 24.4,Devl,Share Point,Maintain
ID5529,Analytics: Test Plan,Maintain,Business Analyst,In Progress,High,Very Critical,2024-08-25,few days,Release 24.5,UAT,Share Point,Maintain
ID5367,AWS Tasks,Maintain,Analyst,Hold,High,Very Critical,2024-08-26,few days,Release 24.5,UAT,Share Point,Update
ID7081,Workflow: Regression Test,Update,Analyst,Hold,High,Major,2024-08-26,few days,Release 24.4,Devl,Analytics Task Note,Update
ID9916,Analytics: Test Plan,Maintain,Tester,In Progress,High,Very Critical,2024-08-27,few days,Release 24.3,Devl,Analytics Task Note,Maintain
ID7011,Analytics: Regression Test,Update,Analyst,Hold,High,Critical,2024-08-28,sprint,Release 24.5,Devl,Share Point,Maintain
ID8740,Workflow: Test Plan,Develop,Tester,Created,Low,Major,2024-08-28,weak,Release 24.4,UAT,WF Task Note,Maintain
ID9203,Analytics: Shakeout Test,Develop,Business Analyst,Hold,High,Very Critical,2024-08-29,quarterly,Release 24.5,UAT,Analytics Task Note,Develop
ID6696,Workflow: Shakeout Test,Maintain,Tester,In Progress,Low,Critical,2024-08-31,yearly,Release 24.3,UAT,WF Task Note,Develop
ID5314,Analytics: Smoke Test,Develop,Product owner,Created,Medium,Minor,2024-09-01,monthly,Release 24.3,Devl,WF Task Note,Develop
ID8781,AWS Tasks,Maintain,Dev,Hold,Low,Major,2024-09-02,quarterly,Release 24.5,Devl,WF Task Note,Maintain
ID2039,Training,Update,Product owner,Hold,Low,Very Critical,2024-09-02,monthly,Release 24.5,Prod,Analytics Task Note,Update
ID5738,Workflow: Smoke Test,Develop,Tester,Hold,High,Minor,2024-09-03,weak,Release 24.3,Devl,Analytics Task Note,Update
ID9111,Workflow: Smoke Test,Maintain,Business Analyst,Hold,High,Major,2024-09-03,yearly,Release 24.4,Prod,Analytics Task Note,Maintain
ID9969,Workflow: Test Plan,Develop,Tester,In Progress,Very High,Very Critical,2024-09-04,weak,Release 24.5,UAT,Share Point,Develop
ID1516,Analytics: Shakeout Test,Maintain,Product owner,Finished,Low,Minor,2024-09-05,sprint,Release 24.5,Devl,Analytics Task Note,Update
ID1128,Workflow: Test Plan,Update,Dev,In Progress,Low,Minor,2024-09-05,yearly,Release 24.4,Prod,WF Task Note,Update
ID6675,Planning Meeting,Update,Product owner,Created,Very High,Critical,2024-09-05,monthly,Release 24.3,Prod,WF Task Note,Update
ID3000,Analytics: Regression Test,Develop,Dev,In Progress,High,Major,2024-09-06,monthly,Release 24.3,Prod,Analytics Task Note,Update
ID6813,Workflow: Test Plan,Update,Dev,Finished,Very High,Critical,2024-09-06,quarterly,Release 24.4,Devl,Analytics Task Note,Maintain
ID9372,Analytics: Test Plan,Maintain,Analyst,Finished,Medium,Critical,2024-09-06,quarterly,Release 24.4,UAT,Share Point,Develop
ID3325,AWS Tasks,Develop,Analyst,Created,Medium,Critical,2024-09-06,few days,Release 24.5,UAT,Analytics Task Note,Maintain
ID8583,AWS Tasks,Update,Tester,Hold,Very High,Minor,2024-09-06,sprint,Release 24.4,Devl,WF Task Note,Develop
ID4648,Workflow: Smoke Test,Maintain,Dev,In Progress,Low,Very Critical,2024-09-06,sprint,Release 24.4,Devl,Share Point,Develop
ID5037,Analytics: Regression Test,Maintain,Product owner,Created,Very High,Minor,2024-09-07,weak,Release 24.3,Prod,Share Point,Maintain
ID9194,Analytics: Smoke Test,Develop,Analyst,In Progress,High,Minor,2024-09-07,few days,Release 24.4,Prod,Share Point,Maintain
ID1648,Workflow: Shakeout Test,Maintain,Dev,In Progress,Low,Very Critical,2024-09-07,weak,Release 24.3,UAT,WF Task Note,Develop
ID4252,Analytics: Shakeout Test,Maintain,Product owner,Hold,Medium,Very Critical,2024-09-07,sprint,Release 24.3,Prod,Share Point,Develop
ID6039,Workflow: Shakeout Test,Maintain,Analyst,In Progress,Medium,Critical,2024-09-07,quarterly,Release 24.3,Devl,Analytics Task Note,Develop
ID8959,Analytics: Smoke Test,Update,Product owner,Hold,High,Major,2024-09-07,yearly,Release 24.4,Prod,Analytics Task Note,Maintain
ID1919,Analytics: Regression Test,Develop,Tester,In Progress,High,Critical,2024-09-09,monthly,Release 24.4,Prod,Share Point,Update
ID9771,Workflow: Regression Test,Maintain,Tester,In Progress,Medium,Very Critical,2024-09-09,weak,Release 24.4,UAT,Share Point,Update
ID7280,AWS Tasks,Develop,Business Analyst,Finished,High,Critical,2024-09-09,yearly,Release 24.5,Devl,WF Task Note,Develop
